symbol,name,lastPrice,priceChange,percentChange,highPrice,lowPrice,volume,tradeTime
"A","Agilent Technologies",116.64,+1.57,+1.36%,116.71,113.32,3,207,757,03/09/26
"AAPL","Apple Inc",259.88,+2.42,+0.94%,261.15,253.68,38,073,855,03/09/26
"ABBV","Abbvie Inc",227.45,-2.66,-1.16%,230.68,223.23,7,915,004,03/09/26
"ABNB","Airbnb Inc Cl A",134.03,+0.80,+0.60%,134.30,128.37,3,918,989,03/09/26
"ABT","Abbott Laboratories",112.65,+3.09,+2.82%,112.74,108.94,13,560,730,03/09/26
"ACGL","Arch Capital Grp Ltd",95.62,-1.59,-1.64%,96.74,95.10,1,919,040,03/09/26
"ACN","Accenture Plc",209.36,-5.64,-2.62%,215.65,205.83,7,847,610,03/09/26
"ADBE","Adobe Systems Inc",282.44,-1.18,-0.42%,285.20,277.90,4,720,814,03/09/26
"ADI","Analog Devices",319.71,+3.90,+1.23%,319.90,307.22,5,945,030,03/09/26
"ADM","Archer Daniels Midland",67.92,+0.48,+0.71%,68.74,66.31,3,646,249,03/09/26
"ADP","Automatic Data Processing",223.04,-3.20,-1.41%,225.49,220.38,4,331,716,03/09/26
"ADSK","Autodesk Inc",260.75,-0.24,-0.09%,262.52,256.50,1,802,415,03/09/26
"AEE","Ameren Corp",111.16,-0.36,-0.32%,111.30,109.95,1,696,955,03/09/26
"AEP","American Electric Power Company",131.86,-0.01,-0.01%,132.35,130.79,4,476,520,03/09/26
"AES","The Aes Corp",14.19,+0.04,+0.28%,14.23,14.12,14,667,381,03/09/26
"AFL","Aflac Inc",110.18,-1.11,-1.00%,110.51,108.26,2,802,759,03/09/26
"AIG","American International Group",77.62,-1.10,-1.40%,78.53,76.50,6,020,400,03/09/26
"AIZ","Assurant Inc",219.67,-3.24,-1.45%,221.28,216.54,377,469,03/09/26
"AJG","Arthur J. Gallagher & Company",217.78,-10.35,-4.54%,226.90,215.28,1,961,115,03/09/26
"AKAM","Akamai Technologies",102.11,+2.22,+2.22%,103.07,98.49,2,868,111,03/09/26
"ALB","Albemarle Corp",169.57,+7.28,+4.49%,169.81,157.51,2,419,441,03/09/26
"ALGN","Align Technology",175.05,+1.05,+0.60%,175.49,164.51,1,796,881,03/09/26
"ALL","Allstate Corp",207.69,-4.63,-2.18%,211.64,205.76,1,407,709,03/09/26
"ALLE","Allegion Plc",150.22,-0.15,-0.10%,150.72,146.06,805,908,03/09/26
"AMAT","Applied Materials",338.94,+14.20,+4.37%,339.16,316.66,9,497,287,03/09/26
"AMCR","Amcor Plc",42.30,-0.98,-2.26%,42.55,41.14,8,026,696,03/09/26
"AMD","Adv Micro Devices",202.68,+10.25,+5.33%,202.97,189.02,38,731,277,03/09/26
"AME","Ametek Inc",225.07,+3.09,+1.39%,225.68,217.52,1,731,261,03/09/26
"AMGN","Amgen Inc",376.97,+7.44,+2.01%,378.82,366.53,2,719,638,03/09/26
